row ID,row m/z,row retention time,HATS_402_041.mzML Peak height,HATS_403_037.mzML Peak height,HATS_404_040.mzML Peak height,HATS_401_022.mzML Peak height,HATS_408_043.mzML Peak height,HATS_405_025.mzML Peak height,HATS_406_055.mzML Peak height,HATS_407_059.mzML Peak height,HATS_412_019.mzML Peak height,HATS_409_056.mzML Peak height,HATS_410_018.mzML Peak height,HATS_411_044.mzML Peak height,LA2213_602_035.mzML Peak height,LA2213_603_045.mzML Peak height,LA2213_601_051.mzML Peak height,LA2213_604_016.mzML Peak height,LA2213_605_017.mzML Peak height,LA2213_607_032.mzML Peak height,LA2213_608_024.mzML Peak height,LA2213_606_033.mzML Peak height,LA2213_609_058.mzML Peak height,LA2213_610_050.mzML Peak height,LA2213_612_046.mzML Peak height,OH8243_801_036.mzML Peak height,OH8243_802_026.mzML Peak height,OH8243_803_030.mzML Peak height,OH8243_805_057.mzML Peak height,LA2213_611_061.mzML Peak height,OH8243_804_029.mzML Peak height,OH8243_806_027.mzML Peak height,OH8243_809_063.mzML Peak height,OH8243_807_053.mzML Peak height,OH8243_810_049.mzML Peak height,OH8243_808_038.mzML Peak height,OH8243_812_060.mzML Peak height,OH8243_811_028.mzML Peak height,PB_02_006.mzML Peak height,PB_03_007.mzML Peak height,PB_01_005.mzML Peak height,QC_02_031.mzML Peak height,QC_04_047.mzML Peak height,QC_01_023.mzML Peak height,QC_03_039.mzML Peak height,QC_05_054.mzML Peak height,QC_06_062.mzML Peak height
4531,316.2120363,3.463102,5519.265,5642.916,4316.9473,3457.9077,4416.9736,4177.491,4042.7292,5383.1826,4362.7397,5767.1245,4192.4844,3909.1826,2605.6401,2449.6372,4658.079,2431.081,2357.1665,3548.1543,3135.0688,4012.611,3255.0579,2468.205,2757.4504,3969.9207,4467.309,4129.0527,4155.2935,3764.3428,3829.961,3996.4204,4973.6606,4044.8054,3650.5593,3915.3633,3439.4414,4433.5806,41203.27,42875.387,43147.52,3721.8596,3451.0618,3769.5625,3436.082,4047.2834,4080.645
3860,316.2123164,3.1915255,6130.8774,4005.6997,5339.7183,0,6812.043,4753.04,6559.946,2822.178,3956.656,4317.911,4428.588,2655.033,2148.4312,2733.329,3898.0073,5275.8574,3172.9387,2926.9602,3104.1736,2891.4258,3949.4832,3027.954,3581.597,3850.603,4508.4556,4112.494,2677.7231,3890.3787,5294.213,4534.113,3918.4004,3686.8127,4396.7573,1702.0283,3769.8906,4380.4297,43946.375,45056.555,44374.98,3310.003,3358.4907,4591.2065,4779.7144,4291.935,4516.901
5639,316.2230138,4.019349,24471.617,23976.33,25738.76,29416.668,27007.658,27983.824,24842.615,28477.338,22861.52,23023.014,31625.2,30575.11,4478.4785,8964.84,6182.679,13666.493,6732.032,10585.493,7842.752,4342.6333,7305.3994,10522.125,11152.174,28739.11,20851.625,24014.104,22546.832,6960.7603,28044.44,26758.258,25634.62,19788.613,22149.457,32306.424,27392.455,27586.916,0,0,0,19492.588,17253.994,20085.492,18477.898,17056.773,17965.889
2797,316.6738991,2.5665824,3548.9111,5076.427,4793.6704,6315.7144,5480.985,6095.172,5231.47,3957.3105,5065.447,4308.625,6403.8887,5129.8506,1391.2684,1858.4078,1554.0863,1644.7603,1245.1871,1277.3347,0,0,0,0,1265.6569,4001.6682,3183.8462,3975.722,2747.8096,1050.8801,4555.978,4126.329,2303.635,3051.783,3529.8235,4111.0737,4884.6646,2466.568,0,0,0,2709.3665,4132.826,3039.462,2396.8513,2838.8176,2895.083
4947,317.1202502,3.6733015,11052.352,106570.6,21963.645,60828.85,27653.828,21227.758,17027.648,51268.395,82087.07,31688.057,76925.73,26174,0,1087.045,1282.1666,0,0,1141.0447,0,0,0,0,0,35846.66,34949.746,24847.922,26220.02,1167.6764,28791.768,10355.0625,36069.63,26348.227,41596.227,11834.613,38486.285,13230.384,0,0,0,18275.057,20581.043,22035.615,19471.615,22730.727,20842
9716,317.2798615,7.3079643,17731.465,16881.748,17370.785,17255.367,17178.092,16704.672,16504.955,18379.033,18096.295,18945.92,17491.06,18151.53,17668.033,16481.049,19029.564,18126.924,15060.632,16685.143,15145.006,16761.926,18862.64,17710.291,15865.824,17910.783,20370.91,16579.607,17808.734,17506.117,15870.456,16605.361,17746.195,17768.416,16773.008,16892.895,18081.91,17661.887,13995.602,16324.714,14722.138,14000.325,18221.666,17418.88,16056.44,17122.256,16427.746
5988,318.1811792,4.192369,17448.92,21925.672,21440.469,25146.438,17197.26,22381.342,19095.375,25045.35,21841.562,19044.406,28705.852,27635.963,3128.5134,3811.7502,3135.9746,5010.3438,3181.6077,4773.3174,5047.227,1933.6139,2802.4592,5155.167,5831.2046,24604.936,18947.42,16351.292,18315.3,2922.707,23238.277,19869.488,16781.398,16912.771,19985.414,27253.84,25675.486,24316.217,0,0,0,16313.673,14906.106,12378.12,15368.279,13312.946,15568.046
3756,319.1513817,3.139752,102093.086,88177.54,82787.586,88712.95,84377.94,81936.586,76258.555,88156.42,110086.57,100854.78,88771.195,93656.414,94679.05,129381.59,126954.34,126122.05,111412.734,152393.55,140831.73,107372.67,109762.35,115016.52,132449.77,84768.35,81603.88,83506.13,59851.855,109806.71,96278.27,76114.945,58746.52,76234.36,67370.79,92023.016,69799.97,85713.59,0,0,0,103057.95,98367.83,100780.805,102131.41,95711.12,94643.78
4524,320.2430691,3.4601657,4493.225,8131.1284,5572.657,10870.398,11048.712,6908.7085,6939.0957,5852.225,11654.104,8617.257,6978.887,8758.123,15526.928,41684.047,36768.49,32674.334,46346.516,37171.652,22021.617,35751.293,22256.5,27646.605,30802.05,15955.641,11431.048,8759.634,9726.012,33725.7,9606.796,6355.561,9775.588,9315.073,8207.735,15058.121,8666.619,9329.698,0,0,0,25301.04,18722.463,18220.016,16970.682,17417.42,17210.465
180,321.0567691,0.5305713,0,0,0,0,0,0,0,0,0,0,0,0,24793.846,34597.926,15768.648,43712.82,39044.535,42809.117,45583.72,32365.932,42520.25,42727.094,42228.355,0,0,0,0,41077.543,0,0,0,0,0,0,0,0,0,0,0,23227.363,20471.314,21820.133,18953.605,19678.707,18741.102
