mz_rt,mz,rt,MPA,Cluster_ID,Cluster_features,Cluster_size
1177.26305833171_6.3256183,1177.26305833171,6.3256183,5328.554,Cluster_1164.0340835672_6.3254185,1164.0340835672_6.3254185;1164.10218261765_6.3254175;1164.28439896498_6.324625;1164.35278703496_6.3250217;1177.26305833171_6.3256183;1177.51338714991_6.326412;1177.76333093734_6.324427;1178.01403113651_6.325617;1551.37477486175_6.325815;1551.70878182941_6.3250217;1552.042843384_6.3258166;1552.37638376113_6.3252206;1558.70073359567_6.326214;1559.03537469664_6.326413;1569.34693178604_6.3244534;1569.68188652065_6.3248234;931.228638385383_6.323235;931.429420758986_6.3258157,18
1177.51338714991_6.326412,1177.51338714991,6.326412,6458.621,Cluster_1164.0340835672_6.3254185,1164.0340835672_6.3254185;1164.10218261765_6.3254175;1164.28439896498_6.324625;1164.35278703496_6.3250217;1177.26305833171_6.3256183;1177.51338714991_6.326412;1177.76333093734_6.324427;1178.01403113651_6.325617;1551.37477486175_6.325815;1551.70878182941_6.3250217;1552.042843384_6.3258166;1552.37638376113_6.3252206;1558.70073359567_6.326214;1559.03537469664_6.326413;1569.34693178604_6.3244534;1569.68188652065_6.3248234;931.228638385383_6.323235;931.429420758986_6.3258157,18
1177.76333093734_6.324427,1177.76333093734,6.324427,6204.361,Cluster_1164.0340835672_6.3254185,1164.0340835672_6.3254185;1164.10218261765_6.3254175;1164.28439896498_6.324625;1164.35278703496_6.3250217;1177.26305833171_6.3256183;1177.51338714991_6.326412;1177.76333093734_6.324427;1178.01403113651_6.325617;1551.37477486175_6.325815;1551.70878182941_6.3250217;1552.042843384_6.3258166;1552.37638376113_6.3252206;1558.70073359567_6.326214;1559.03537469664_6.326413;1569.34693178604_6.3244534;1569.68188652065_6.3248234;931.228638385383_6.323235;931.429420758986_6.3258157,18
1178.01403113651_6.325617,1178.01403113651,6.325617,5455.5095,Cluster_1164.0340835672_6.3254185,1164.0340835672_6.3254185;1164.10218261765_6.3254175;1164.28439896498_6.324625;1164.35278703496_6.3250217;1177.26305833171_6.3256183;1177.51338714991_6.326412;1177.76333093734_6.324427;1178.01403113651_6.325617;1551.37477486175_6.325815;1551.70878182941_6.3250217;1552.042843384_6.3258166;1552.37638376113_6.3252206;1558.70073359567_6.326214;1559.03537469664_6.326413;1569.34693178604_6.3244534;1569.68188652065_6.3248234;931.228638385383_6.323235;931.429420758986_6.3258157,18
1181.59404198252_5.281263,1181.59404198252,5.281263,15219.975,1181.59404198252_5.281263,1181.59404198252_5.281263,1
1192.5445672173_6.3419075,1192.5445672173,6.3419075,8453.7485,Cluster_1192.5445672173_6.3419075,1192.5445672173_6.3419075;1192.79471739072_6.341909;1193.04508692953_6.342504;1589.38806024254_6.3405175;1589.72195161434_6.341311,5
1192.79471739072_6.341909,1192.79471739072,6.341909,8394.653,Cluster_1192.5445672173_6.3419075,1192.5445672173_6.3419075;1192.79471739072_6.341909;1193.04508692953_6.342504;1589.38806024254_6.3405175;1589.72195161434_6.341311,5
1193.04508692953_6.342504,1193.04508692953,6.342504,7012.50325,Cluster_1192.5445672173_6.3419075,1192.5445672173_6.3419075;1192.79471739072_6.341909;1193.04508692953_6.342504;1589.38806024254_6.3405175;1589.72195161434_6.341311,5
1196.60520967414_5.0389934,1196.60520967414,5.0389934,9809.7625,Cluster_609.797229811669_5.0391917,1196.60520967414_5.0389934;609.797229811669_5.0391917;610.298909548389_5.0397882,3
1208.56868152163_3.792631,1208.56868152163,3.792631,1243.5176999999999,Cluster_1208.56868152163_3.792631,1208.56868152163_3.792631;615.779133236123_3.7850688,2
