row_ID,mz,rt,mz_rt,HATS_402_041,HATS_403_037,HATS_401_022,HATS_404_040,HATS_406_055,HATS_407_059,HATS_408_043,HATS_409_056,HATS_405_025,HATS_411_044,HATS_410_018,HATS_412_019,LA2213_605_017,LA2213_602_035,LA2213_603_045,LA2213_607_032,LA2213_604_016,LA2213_601_051,LA2213_606_033,LA2213_609_058,LA2213_608_024,LA2213_612_046,OH8243_801_036,LA2213_610_050,OH8243_804_029,OH8243_802_026,OH8243_803_030,LA2213_611_061,OH8243_807_053,OH8243_805_057,OH8243_808_038,OH8243_806_027,OH8243_810_049,OH8243_809_063,OH8243_811_028,OH8243_812_060,QC_02_031,QC_03_039,QC_04_047,QC_01_023,QC_06_062,QC_05_054
6027,936.5149033439624,4.3102546,936.514903343962_4.3102546,0,3978.2803,7686.3794,2013.6908,1941.5336,1384.7146,2312.2932,2265.693,1903.1813,4075.6753,2799.8015,5506.274,2845.6658,2308.297,3802.882,4431.6104,3186.8977,2256.9897,4329.823,1557.0226,1908.2527,2899.6729,3470.7693,2398.3843,1210.3684,2875.474,2262.1675,3040.4165,2480.013,0,3928.6265,0,2443.0461,2296.6401,3383.9727,1665.4308,2534.5176,2478.6917,2459.0066,2995.4998,2666.2227,2343.1748
6550,940.4867394961004,4.549851,940.4867394961_4.549851,0,9289.973,31750.795,6159.289,5853.8657,5223.115,9568.215,9335.012,7070.4224,19760.322,11717.5,25514.973,21009.62,14545.177,27890.191,28204.533,29455.107,25526.7,22642.707,14676.811,18908.045,21283.645,12408.302,16461.01,4564.845,9343.19,8426.638,29072.885,9474.777,0,12106.015,0,10208.414,7903.845,9520.109,9485.56,11953.314,12682.659,16829.227,18251.453,14954.192,14590.603
6652,941.2313157527278,4.5930333,941.231315752728_4.5930333,35881.797,9628.082,7350.695,18477.078,16237.983,12106.412,8691.866,14302.18,21027.223,13998.083,9343.651,4741.5454,1440.2799,2410.7969,1133.978,3035.2412,2705.3813,3359.4595,1842.1957,3571.6462,3388.6135,1569.1365,1227.2571,1595.9932,7314.609,6595.506,10129.692,2120.1953,15240.784,10077.721,20951.951,26813.867,5558.2905,19618.281,7256.876,14861.081,8307.893,9758.758,7334.1533,7442.17,7248.512,7963.179
8961,943.4854116575988,6.1878443,943.485411657599_6.1878443,0,0,0,0,0,0,1536.9664,0,0,0,0,0,3542.9976,1310.8667,2152.2498,2530.4712,3783.2742,3598.3438,4260.685,3986.6714,3449.4277,8047.886,0,4967.0493,0,0,1027.9425,5285.952,0,1014.1212,0,0,0,1499.967,1342.0492,0,1952.4695,2098.6206,2167.4038,1876.9259,2041.1632,2512.9739
8231,943.4863653618864,5.2431846,943.486365361886_5.2431846,0,6784.2373,31881.264,2971.7148,5955.424,2871.3357,4065.478,5548.439,4898.392,11614.035,8438,24906.354,10071.753,7756.6826,15189.554,11174.598,14075.841,10997.536,12312.564,8266.37,12311.713,14019.142,6661.6694,7528.356,1732.3334,7240.674,6648.1904,12736.7295,7251.912,0,6261.6816,0,5465.6997,5315.73,4245.604,3729.2976,9271.326,8447.322,9125.233,9085.339,10274.581,9705.784
6533,944.5021485775284,4.5481396,944.502148577528_4.5481396,0,13439.828,14923.379,8245.808,8361.486,5243.194,10123.381,13232.129,9878,16995.045,12020.34,15494.286,14371.014,12723.004,15364.444,14309.429,12599.869,10988.236,13599.935,10262.179,16569.531,13246.302,13294.242,14634.288,2962.2756,11837.971,8535.609,13483.958,10293.736,0,12494.781,0,12390.089,8882.001,9208.5,9649.083,12511.455,15356.076,15107.515,14341.223,12921.413,10156.877
8614,944.5554291506638,5.8613334,944.555429150664_5.8613334,2861.2705,5712.587,5336.9766,3052.0984,2167.205,8133.042,2891.1377,5626.737,2780.6409,3417.4448,4958.744,5079.4307,1143.3777,0,1404.4447,1202.4213,1337.212,1622.3519,1992.2,1151.3303,0,1619.5078,4503.569,1218.26,6730.841,4427.3335,3373.8433,2262.3987,2944.605,3902.7515,2328.754,2065.002,4896.021,4203.8804,2301.014,5938.86,2476.2402,2477.276,2694.6567,2796.0488,3258.251,3690.4417
6876,946.4991083956958,4.709569,946.499108395696_4.709569,1292.9474,1280.5392,1117.488,1810.8105,2526.3994,7090.9414,3466.5352,1829.7467,7958.2153,2334.081,2231.1853,1264.3158,0,1042.2992,0,0,1002.14984,0,0,1072.2334,1167.3784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1224.9208,1516.192,1429.3225,1073.2521,1514.0385,1140.5437
5912,946.4995594453322,4.2612796,946.499559445332_4.2612796,1884.1512,0,2304.2783,1763.5432,2035.3063,1393.9036,2017.9917,1972.0548,2545.3699,2805.4722,2507.1646,1569.133,3147.9958,5758.2114,5899,7150.4473,8054.9927,8148.711,5062.936,5414.1523,4380.8477,4867.2227,5803.589,5374.98,5705.9707,8207.548,6926.839,7290.7534,6376.8984,5673.33,4485.6567,7254.046,6078.045,7961.496,7072.6885,6707.3477,4848.5454,4286.6743,3570.0452,4528.0195,5084.0957,4638.4507
252,946.5138809531088,0.5643242,946.513880953109_0.5643242,6832.434,9922.935,6970.5894,6909.559,9558.378,7762.0566,6786.666,6721.6846,10291.245,7355.4834,9522.335,8490.556,11851.646,10194.749,9448.731,7099.476,11223.352,5821.2563,8334.288,7287.0537,7697.1074,7087.7603,6965.8643,7963.021,7106.562,8867.259,7542.381,8669.465,8159.9287,9086.297,5099.7554,7252.759,8269.09,8413.749,5008.4224,7452.036,9947.051,7255.141,7992.975,10150.403,10010.253,9758.336
6373,949.7086415306932,4.481594,949.708641530693_4.481594,3100.45,3674.2756,6187.781,5033.405,3281.3123,3693.6675,4492.28,2070.4556,3864.9746,6816.7847,4134.8916,3964.8264,1416.7896,2157.4475,2595.3262,3501.352,2240.5393,2814.8901,1208.1617,1676.7318,1505.1362,1869.4236,5314.043,2389.9578,6896.37,2666.1238,6219.104,3360.2607,6007.148,9977.736,5895.8545,7703.912,9000.218,6060.196,5566.809,6059.2114,3896.8887,3978.0237,4177.5625,3670.768,2424.835,3326.0234
6387,950.2107114668922,4.480205,950.210711466892_4.480205,3618.346,2963.3955,3799.6816,3868.0103,2846.1895,3502.7395,3443.4805,1900.0288,3549.0222,7784.2544,2908.9458,4227.249,1236.391,1435.1985,3441.198,2323.4097,3174.3909,1998.5503,1581.1764,1477.9221,1070.0892,2387.2664,5444.551,1704.3824,6231.44,3547.336,4274.6655,1768.1282,4952.8994,3184.0974,5683.8374,4430.607,8196.35,3427.09,3290.7703,4582.664,2403.5747,3280.5703,2005.459,3164.7788,3033.1692,2365.294
5132,952.5100620954488,3.8736756,952.510062095449_3.8736756,0,0,0,0,0,0,0,0,0,0,0,0,1337.725,1083.917,1369.9014,1151.0598,1556.0288,1720.6599,2673.48,1740.9644,2288.243,2563.8552,3351.0789,1482.0011,7415.4307,5220.929,6416.339,2236.3923,8039.083,7857.9517,6940.818,4730.3047,3017.4697,10315.115,5919.381,8381.829,2839.2559,3171.2783,2562.802,2524.2483,2593.77,2497.6685
9170,954.2377771827664,6.3419666,954.237777182766_6.3419666,3456.383,3695.6902,3846.5723,2763.0298,3122.4392,5659.1343,2865.712,3429.535,4677.772,1890.9557,2299.646,2662.6597,3417.24,4181.1133,3097.4514,3424.7578,4282.7285,4598.105,1707.5997,4071.109,1399.0103,1381.0416,2498.5247,1417.533,0,1364.3778,1294.368,2475.2505,2556.1902,2366.001,1601.5625,1788.1471,2988.8657,1090.9528,2448.758,1938.3221,3487.5476,2492.8064,2864.7617,3130.2163,3068.8838,2456.1235
9186,954.6382990371576,6.339608,954.638299037158_6.339608,3221.2869,2641.1711,3359.9292,3459.5388,1495.8804,5133.1196,2265.8784,3345.5496,5438.9976,2741.2397,3005.805,2734.7192,2116.6538,3211.4053,2998.6033,2734.485,3054.8972,4247.9277,1381.4042,2933.1973,1341.5632,2549.6978,1075.5226,0,1457.4302,1828.8907,1178,1851.5159,1246.2505,1958.3667,0,1244.0963,3698.1333,1216.557,1295.0155,1657.7996,2272.6814,2089.0835,3386.426,2458.4917,2907.67,2650.8643
7622,956.4058801039256,5.088731,956.405880103926_5.088731,0,3558.8953,7899.3945,2910.9932,2014.5518,2025.3335,4180.4624,2953.1892,3634.3613,4989.762,5772.705,7681.403,3864.4824,2520.9277,2594.9807,3930.6404000000002,4483.5073,1977.5813,3224.7905,3761.2466,2915.1736,3811.639,6228.905,3063.175,1719.4377,4590.034,3882.1904,3717.289,3967.0457,0,7175.3115,0,4781.6694,2737.0066,6045.096,4377.883,4201.811,3726.0051,3492.713,4968.93,3074.1157,4619.2495
8697,956.4346495234148,6.0119605,956.434649523415_6.0119605,6330.128,13663.629,20409.188,20445.562,18766.957,29202.166,10736.045,9972.125,12240.969,44674.75,41138.48,15779.921,34133.473,6934.9893,22853.54,19862.094,37920.418,48268.227,51397.492,41258.223,44034.402,72783.164,18228.457,59733.49,39487.016,8252.631,34155.207,76734.48,30976.291,44493.43,58973.656,25018.178,36234.055,36544.523,28969.29,49157.418,35012.035,36754.785,34398.996,30967.549,36338.58,34682.29
8715,956.685202525662,6.01335,956.685202525662_6.01335,8602.778,15279.576,25980.422,28013.238,21058.844,41131.633,20546.396,9332.213,13317.721,48966.785,49519.23,18303.322,40245.47,6970.375,20938.65,25135.36,54417.13,53899.38,67548.77,59764.367,41718.47,89490.055,23170.898,63464.906,47995.95,13050.612,34678.004,86567.69,38438.34,46031.75,67505.44,20181.092,46186.66,43961.85,28443.63,57988.332,35795.76,42141.06,42227.977,38265.17,46103.14,39129.883
8695,956.7470706272576,6.012953,956.747070627258_6.012953,0,1120.3328,1697.9629,1769.8033,1392.5929,2598.6013,1095.032,0,0,3290.0833,3205.123,1262.687,2979.0178,0,1818.7449,1580.556,3490.1296,3838.645,4170.869,3912.6106,3082.109,6204.9185,1615.4701,4520.748,2861.0417,0,2172.8281,5238.537,2404.661,3051.32,4183.1714,1738.8339,3048.0466,2900.0771,2203.1265,3507.1008,2901.4675,3030.987,2773.7368,2425.295,2617.9468,2613.6987
